audio_clipping:confidence,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,prompt,writer_id,audio_clipping_no_clipping,background_noise_audible_no_noise,quiet_speaker_quiet_speaker,merged_prompt
1.0,0.6558,3.0,0.6558,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_17428469.wav&key=test_key_TISTK,1249120_44259428_17428469.wav,i feel pain in my knee when i climb the stairs,Joint pain,43949040,1,0,0,Muscle and joint pain
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_19293556.wav&key=test_key_TISTK,1249120_44259428_19293556.wav,my biceps started aching after i went to the gym,Muscle pain,44164300,1,0,0,Muscle and joint pain
1.0,0.6636,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_38940948.wav&key=test_key_TISTK,1249120_44259428_38940948.wav,i feel cold although we are in summer,Feeling cold,40632132,1,0,0,Feeling cold/hot
1.0,0.6785,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_39681967.wav&key=test_key_TISTK,1249120_44259428_39681967.wav,chronic disease of hair follicles and sebaceous glands,Acne,44218005,1,0,0,Hair and skin issues
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_46527054.wav&key=test_key_TISTK,1249120_44259428_46527054.wav,i have a split on my thumb that will not heal,Open wound,43755034,1,0,0,Wound and injury
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_50914735.wav&key=test_key_TISTK,1249120_44259428_50914735.wav,i feel lightheaded when i stand up,Feeling dizzy,42082009,1,0,0,Dizziness and vertigo
1.0,0.6711,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_53172278.wav&key=test_key_TISTK,1249120_44259428_53172278.wav,i have a blurry vision since i woke up this morning what could be the reason,Blurry vision,40632132,1,0,0,Sensory issues
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_58867514.wav&key=test_key_TISTK,1249120_44259428_58867514.wav,i tried alot of cream but i still feel the same skin problem,Skin issue,44118742,1,0,0,Hair and skin issues
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_59884279.wav&key=test_key_TISTK,1249120_44259428_59884279.wav,i have a blurry vision during my swimming training in the pool why,Blurry vision,40632132,1,0,0,Sensory issues
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_71308387.wav&key=test_key_TISTK,1249120_44259428_71308387.wav,annoyance starts suddenly often after an injury or exercise,Knee pain,44096379,1,0,0,Leg and foot pain
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_75102963.wav&key=test_key_TISTK,1249120_44259428_75102963.wav,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up,Open wound,19638651,1,0,0,Wound and injury
0.6727,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_77483299.wav&key=test_key_TISTK,1249120_44259428_77483299.wav,i have a foot ache in winter or when it feels cold why,Foot ache,40632132,1,0,0,Leg and foot pain
1.0,0.6733,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_82428785.wav&key=test_key_TISTK,1249120_44259428_82428785.wav,glass broken and wound my leg badly the wound is so wide,Open wound,44088126,1,0,0,Wound and injury
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_107507771.wav&key=test_key_TISTK,1249120_44263136_107507771.wav,my son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal,Infected wound,43755034,1,0,0,Wound and injury
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_13332887.wav&key=test_key_TISTK,1249120_44263136_13332887.wav,my knee catches and hurts when i first stand up after sitting,Knee pain,43755034,1,0,0,Leg and foot pain
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_27728779.wav&key=test_key_TISTK,1249120_44263136_27728779.wav,i have a hard pain in my stomach,Stomach ache,44124309,1,0,0,Digestive issues
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_34906231.wav&key=test_key_TISTK,1249120_44263136_34906231.wav,i have severe dry cough,Cough,43793610,1,0,0,Respiratory issue
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_47696189.wav&key=test_key_TISTK,1249120_44263136_47696189.wav,the worst headache was during a hangover in my twenties i sincerely thought i was going to die from brain inflammation,Head ache,44130352,1,0,0,Headache
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_83669979.wav&key=test_key_TISTK,1249120_44263136_83669979.wav,i hardly have enough stength to get up,Body feels weak,34987462,1,0,0,General weakness
0.68,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_87409253.wav&key=test_key_TISTK,1249120_44263136_87409253.wav,sterilizer for the eye,Blurry vision,43555186,1,0,0,Sensory issues
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_94477614.wav&key=test_key_TISTK,1249120_44263136_94477614.wav,my shoulder aches when i try to lift five pounds,Shoulder pain,38202325,1,0,0,Shoulder pain
1.0,1.0,3.0,1.0,44273314,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44273314_93618448.wav&key=test_key_TISTK,1249120_44273314_93618448.wav,i have a hard pain in my stomach,Stomach ache,44124309,1,0,0,Digestive issues
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_102078306.wav&key=test_key_TISTK,1249120_44294866_102078306.wav,i have shooting pain in my kneecap after working out,Knee pain,43755034,1,0,0,Leg and foot pain
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_103485284.wav&key=test_key_TISTK,1249120_44294866_103485284.wav,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,Infected wound,43755034,1,0,0,Wound and injury
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_15891095.wav&key=test_key_TISTK,1249120_44294866_15891095.wav,i have shoulder pain when i try to carry my groceries,Shoulder pain,38202325,1,0,0,Shoulder pain
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_23003547.wav&key=test_key_TISTK,1249120_44294866_23003547.wav,i feel weak all over,Body feels weak,44140394,1,0,0,General weakness
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_30296550.wav&key=test_key_TISTK,1249120_44294866_30296550.wav,the crushing sensation on my heart leaves me breathless,Heart hurts,44130352,1,0,0,Chest pain
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_53414183.wav&key=test_key_TISTK,1249120_44294866_53414183.wav,im not good im feeling so cold,Feeling cold,44045955,1,0,0,Feeling cold/hot
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_72495478.wav&key=test_key_TISTK,1249120_44294866_72495478.wav,my head hurts when im doing this,Head ache,44292353,1,0,0,Headache
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_73599319.wav&key=test_key_TISTK,1249120_44294866_73599319.wav,when i force my eyes to view i have blurry vision,Blurry vision,38687371,1,0,0,Sensory issues
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_90929031.wav&key=test_key_TISTK,1249120_44294866_90929031.wav,it is like i have a needle pushing through my heart,Heart hurts,44130352,1,0,0,Chest pain
1.0,1.0,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_96337692.wav&key=test_key_TISTK,1249120_44294866_96337692.wav,when i bend over i get a shooting pain down my back,Back pain,42082009,1,0,0,"Neck, back or spinal issues"
0.6776,0.6776,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_16235297.wav&key=test_key_TISTK,1249120_44323331_16235297.wav,when i play football i have joint pain,Joint pain,38687371,1,0,0,Muscle and joint pain
1.0,1.0,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_17693815.wav&key=test_key_TISTK,1249120_44323331_17693815.wav,i cant breath because of  cough,Cough,44124309,1,0,0,Respiratory issue
0.6601,0.6601,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_24602215.wav&key=test_key_TISTK,1249120_44323331_24602215.wav,there is pain in my joints i can not bear pain,Joint pain,43730599,1,0,0,Muscle and joint pain
1.0,0.642,3.0,0.6967,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_25847807.wav&key=test_key_TISTK,1249120_44323331_25847807.wav,my right shoulder clicks when i move my arm,Shoulder pain,44140394,1,0,0,Shoulder pain
1.0,1.0,3.0,0.6773,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_42291661.wav&key=test_key_TISTK,1249120_44323331_42291661.wav,i have a strong shoulder pain,Shoulder pain,43838565,1,0,0,Shoulder pain
1.0,0.6667,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_53313006.wav&key=test_key_TISTK,1249120_44323331_53313006.wav,i broke my ankle while doing rock climbing in the carpathians,Injury from sports,44130352,1,0,0,Wound and injury
1.0,0.6713,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_61837950.wav&key=test_key_TISTK,1249120_44323331_61837950.wav,ive been feeling very sad lately,Emotional pain,42082009,1,0,0,Emotional and mental health
1.0,0.6597,3.0,0.6389,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_63502960.wav&key=test_key_TISTK,1249120_44323331_63502960.wav,feels like there are pins and needles sticking in my joints,Joint pain,44164300,1,0,0,Muscle and joint pain
0.7007,0.6463,3.0,0.7007,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_81893062.wav&key=test_key_TISTK,1249120_44323331_81893062.wav,i feel pain in my ears with tinnitus,Ear ache,41918114,1,0,0,Sensory issues
1.0,1.0,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_95219530.wav&key=test_key_TISTK,1249120_44323331_95219530.wav,i feel pain in my knee,Knee pain,43751808,1,0,0,Leg and foot pain
1.0,0.6528,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_95484507.wav&key=test_key_TISTK,1249120_44323331_95484507.wav,my son has a lot of acne,Acne,44246595,1,0,0,Hair and skin issues
1.0,0.6662,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_95561004.wav&key=test_key_TISTK,1249120_44323331_95561004.wav,when i go to sleep i am feeling cold,Feeling cold,21665495,1,0,0,Feeling cold/hot
0.6531,1.0,3.0,1.0,44442354,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44442354_52494335.wav&key=test_key_TISTK,1249120_44442354_52494335.wav,i cant get a girlfriend because of my acne,Acne,44246595,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_100658896.wav&key=test_key_TISTK,1249120_44259428_100658896.wav,i have a dull ache in my head,Head ache,42082009,1,0,0,Headache
1.0,0.6667,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_103086666.wav&key=test_key_TISTK,1249120_44259428_103086666.wav,i cant carry anything i have a pain in my shoulder,Shoulder pain,44045955,1,0,0,Shoulder pain
1.0,0.6601,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_106881229.wav&key=test_key_TISTK,1249120_44259428_106881229.wav,i walk every day but now i get short of breath after going only a short way,Hard to breath,19638651,1,0,0,Respiratory issue
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_107372342.wav&key=test_key_TISTK,1249120_44259428_107372342.wav,i feel head ache,Head ache,44266645,1,0,0,Headache
0.6652,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_17570271.wav&key=test_key_TISTK,1249120_44259428_17570271.wav,i travelled by plane a few days ago and this time during landing my ears remained clogged and painful,Ear ache,44130352,1,0,0,Sensory issues
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_26033114.wav&key=test_key_TISTK,1249120_44259428_26033114.wav,his infected wound was beginning to rot,Infected wound,44246595,1,0,0,Wound and injury
1.0,0.6507,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_28102523.wav&key=test_key_TISTK,1249120_44259428_28102523.wav,i have an open wound in my arm,Open wound,21665495,1,0,0,Wound and injury
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_31222743.wav&key=test_key_TISTK,1249120_44259428_31222743.wav,my body feels weak and i tried to make it relax but it stills pain me,Body feels weak,43318517,1,0,0,General weakness
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_34993210.wav&key=test_key_TISTK,1249120_44259428_34993210.wav,i feel very weak in my body,Body feels weak,43730599,1,0,0,General weakness
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_45195927.wav&key=test_key_TISTK,1249120_44259428_45195927.wav,i have throbing in my shoulder,Shoulder pain,44164300,1,0,0,Shoulder pain
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_49203869.wav&key=test_key_TISTK,1249120_44259428_49203869.wav,i feel depressed when i see my hair falling out,Hair falling out,44118742,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_51361064.wav&key=test_key_TISTK,1249120_44259428_51361064.wav,it is hard to breath when i am in the underground metro station why,Hard to breath,40632132,1,0,0,Respiratory issue
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_54047497.wav&key=test_key_TISTK,1249120_44259428_54047497.wav,im having a hard time reading because the letters are all fuzzy,Blurry vision,42082009,1,0,0,Sensory issues
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_54344716.wav&key=test_key_TISTK,1249120_44259428_54344716.wav,i feel a huge emotional pain after i broke up with my girlfriend,Emotional pain,40632132,1,0,0,Emotional and mental health
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_61618701.wav&key=test_key_TISTK,1249120_44259428_61618701.wav,my head gets dizzy when i try to get up,Feeling dizzy,38202325,1,0,0,Dizziness and vertigo
1.0,0.6621,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_86445054.wav&key=test_key_TISTK,1249120_44259428_86445054.wav,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,Infected wound,43755034,1,0,0,Wound and injury
1.0,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_95841310.wav&key=test_key_TISTK,1249120_44259428_95841310.wav,i could not exercise because of my knee pain,Knee pain,21665495,1,0,0,Leg and foot pain
0.6747,1.0,3.33,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_96688403.wav&key=test_key_TISTK,1249120_44259428_96688403.wav,i have difficulty in breathing in crowded places,Hard to breath,40632132,1,0,0,Respiratory issue
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_103802215.wav&key=test_key_TISTK,1249120_44263136_103802215.wav,my child has cough all night she cant sleep,Cough,44063565,1,0,0,Respiratory issue
1.0,0.6834,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_106922287.wav&key=test_key_TISTK,1249120_44263136_106922287.wav,i have a back pain since i turned  years old,Back pain,40632132,1,0,0,"Neck, back or spinal issues"
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_107482610.wav&key=test_key_TISTK,1249120_44263136_107482610.wav,i feel like something is squeezing my lungs,Hard to breath,34987462,1,0,0,Respiratory issue
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_12662866.wav&key=test_key_TISTK,1249120_44263136_12662866.wav,i feel pain in the knee,Knee pain,43730599,1,0,0,Leg and foot pain
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_13651055.wav&key=test_key_TISTK,1249120_44263136_13651055.wav,my ankle joint throbs when i put pressure on my foot,Joint pain,38202325,1,0,0,Muscle and joint pain
0.6839,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_15762375.wav&key=test_key_TISTK,1249120_44263136_15762375.wav,i always feel like i have menstrual pains even if i dont have my period,Internal pain,44130352,1,0,0,Internal pain
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_18526428.wav&key=test_key_TISTK,1249120_44263136_18526428.wav,in highschool i had a lot of acne,Acne,44246595,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_22818184.wav&key=test_key_TISTK,1249120_44263136_22818184.wav,i have a red rash that is itchy on my skin,Skin issue,42082009,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_25998544.wav&key=test_key_TISTK,1249120_44263136_25998544.wav,i have pain like needles in my joints,Joint pain,44063565,1,0,0,Muscle and joint pain
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_26194304.wav&key=test_key_TISTK,1249120_44263136_26194304.wav,my foot had been aching since last tuesday,Foot ache,44140394,1,0,0,Leg and foot pain
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_28094510.wav&key=test_key_TISTK,1249120_44263136_28094510.wav,i couldnt stop shaking or unclench my jaw thats how cold i was,Feeling cold,44130352,1,0,0,Feeling cold/hot
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_30518887.wav&key=test_key_TISTK,1249120_44263136_30518887.wav,longitudinal burning line across back with hard respiratory movements,Back pain,43868212,1,0,0,"Neck, back or spinal issues"
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_31607750.wav&key=test_key_TISTK,1249120_44263136_31607750.wav,i feel aching on my insides,Internal pain,43755034,1,0,0,Internal pain
0.6875,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_34327747.wav&key=test_key_TISTK,1249120_44263136_34327747.wav,my hair always falls out and i have lost a lot of hair lately,Hair falling out,44150058,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_36286570.wav&key=test_key_TISTK,1249120_44263136_36286570.wav,my neck has been sore since the accident,Neck pain,44140394,1,0,0,"Neck, back or spinal issues"
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_41431969.wav&key=test_key_TISTK,1249120_44263136_41431969.wav,i have a headache almost every day,Head ache,21665495,1,0,0,Headache
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_49038863.wav&key=test_key_TISTK,1249120_44263136_49038863.wav,i have a migrain and i took panadol but it doesnt help,Head ache,44066678,1,0,0,Headache
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_51762834.wav&key=test_key_TISTK,1249120_44263136_51762834.wav,my back hurts a lot when i bend,Back pain,41918114,1,0,0,"Neck, back or spinal issues"
0.6966,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_58592964.wav&key=test_key_TISTK,1249120_44263136_58592964.wav,my chest hurts when i go to take a breath,Hard to breath,43913997,1,0,0,Respiratory issue
1.0,1.0,3.33,0.6835,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_77095387.wav&key=test_key_TISTK,1249120_44263136_77095387.wav,have severe cold and cough,Cough,43985758,1,0,0,Respiratory issue
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_78073786.wav&key=test_key_TISTK,1249120_44263136_78073786.wav,my kee is swallowing which indicates i have an infected wound,Infected wound,21665495,1,0,0,Wound and injury
1.0,0.6434,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_78833554.wav&key=test_key_TISTK,1249120_44263136_78833554.wav,i feel sad,Emotional pain,44124309,1,0,0,Emotional and mental health
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_79226700.wav&key=test_key_TISTK,1249120_44263136_79226700.wav,im very worried that ill go bald soon am i very sick,Hair falling out,40925305,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_81225662.wav&key=test_key_TISTK,1249120_44263136_81225662.wav,i feel like i can hardly breathe unless i get whats in my lungs out,Cough,44164300,1,0,0,Respiratory issue
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_85067361.wav&key=test_key_TISTK,1249120_44263136_85067361.wav,my throught is so sore,Neck pain,34987462,1,0,0,"Neck, back or spinal issues"
1.0,1.0,3.33,0.68,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_86205654.wav&key=test_key_TISTK,1249120_44263136_86205654.wav,my body feels weak although i eat a lot why,Body feels weak,40632132,1,0,0,General weakness
1.0,1.0,3.33,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_87455428.wav&key=test_key_TISTK,1249120_44263136_87455428.wav,my ankle is hurting me,Joint pain,43838565,1,0,0,Muscle and joint pain
