audio_clipping:confidence,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,prompt,writer_id,audio_clipping_no_clipping,background_noise_audible_no_noise,quiet_speaker_quiet_speaker,merged_prompt
1.0,0.6533,3.0,1.0,41336418,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_41336418_98516775.wav&key=test_key_TISTK,1249120_41336418_98516775.wav,i feel pain in my knee,Knee pain,43751808,1,0,0,Leg and foot pain
1.0,0.6533,3.67,1.0,44142156,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44142156_33811848.wav&key=test_key_TISTK,1249120_44142156_33811848.wav,my skin is very dry and peeling,Skin issue,1883056,1,1,0,Hair and skin issues
1.0,1.0,3.0,1.0,44023395,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44023395_32770026.wav&key=test_key_TISTK,1249120_44023395_32770026.wav,i cant move my shoulder because of pain,Shoulder pain,44124309,1,0,0,Shoulder pain
1.0,0.3451,3.67,0.6901,43898158,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43898158_20629391.wav&key=test_key_TISTK,1249120_43898158_20629391.wav,when i wake up in the morning i feel dizzy,Feeling dizzy,43838565,1,1,0,Dizziness and vertigo
1.0,0.6552,3.67,1.0,43918153,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43918153_65721432.wav&key=test_key_TISTK,1249120_43918153_65721432.wav,i have a sharp pain in my neck,Neck pain,44118742,1,1,0,"Neck, back or spinal issues"
0.6555,1.0,3.33,1.0,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_92774185.wav&key=test_key_TISTK,1249120_39675900_92774185.wav,there is pain in the muscles i do not know caused,Muscle pain,43730599,1,0,0,Muscle and joint pain
1.0,0.6556,3.67,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_72342755.wav&key=test_key_TISTK,1249120_43719934_72342755.wav,i have a problem in the expiration because i have abronchial asthma,Hard to breath,44066678,1,0,0,Respiratory issue
1.0,0.6557,3.33,1.0,29713479,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29713479_30880664.wav&key=test_key_TISTK,1249120_29713479_30880664.wav,every time i make an effort i felt dizzy,Feeling dizzy,43772689,1,0,0,Dizziness and vertigo
1.0,0.6563,3.33,1.0,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_30360688.wav&key=test_key_TISTK,1249120_27392644_30360688.wav,i have a powerful pain inside my neck,Neck pain,13121046,1,1,0,"Neck, back or spinal issues"
1.0,1.0,3.0,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_73877271.wav&key=test_key_TISTK,1249120_43719934_73877271.wav,i have a pain internal,Internal pain,44045955,1,1,0,Internal pain
1.0,1.0,3.67,1.0,36929821,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_36929821_22772305.wav&key=test_key_TISTK,1249120_36929821_22772305.wav,chronic disease of hair follicles and sebaceous glands,Acne,44096379,1,1,0,Hair and skin issues
0.6575,0.6575,3.33,0.6575,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_55649652.wav&key=test_key_TISTK,1249120_31349958_55649652.wav,i feel a huge emotional pain after i broke up with my girlfriend,Emotional pain,40632132,1,0,0,Emotional and mental health
1.0,0.6575,3.67,1.0,43995026,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43995026_50188564.wav&key=test_key_TISTK,1249120_43995026_50188564.wav,when i stand up too quickly i start to feel dizzy and lightheaded,Feeling dizzy,43767396,1,0,0,Dizziness and vertigo
1.0,1.0,3.67,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_65421911.wav&key=test_key_TISTK,1249120_40663048_65421911.wav,i often get a sharp pain in my chest and i cant tell what im doing that might be triggering it,Heart hurts,19638651,1,1,0,Chest pain
1.0,1.0,3.67,1.0,39438102,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39438102_72804973.wav&key=test_key_TISTK,1249120_39438102_72804973.wav,i have a feeling like my whole body is complaining,Joint pain,44118742,1,0,0,Muscle and joint pain
1.0,0.659,3.67,1.0,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_64467464.wav&key=test_key_TISTK,1249120_39675900_64467464.wav,my knee hurts when i play squash,Knee pain,21665495,1,0,0,Leg and foot pain
1.0,1.0,3.33,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_90892859.wav&key=test_key_TISTK,1249120_40663048_90892859.wav,i cant see well,Blurry vision,44124309,1,1,0,Sensory issues
1.0,0.6597,3.67,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_45296716.wav&key=test_key_TISTK,1249120_31349958_45296716.wav,i tried alot of cream but i still feel the same skin problem,Skin issue,44118742,1,0,0,Hair and skin issues
1.0,1.0,3.33,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_96568782.wav&key=test_key_TISTK,1249120_40663048_96568782.wav,it feels like someone stuck a knife into my shoulder,Shoulder pain,44164300,1,1,0,Shoulder pain
1.0,1.0,3.0,1.0,35408915,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_35408915_40576364.wav&key=test_key_TISTK,1249120_35408915_40576364.wav,i feel a burning sensation in my shoulder muscle,Muscle pain,38202325,1,0,0,Muscle and joint pain
1.0,0.6621,3.67,0.6828,29713479,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29713479_101179933.wav&key=test_key_TISTK,1249120_29713479_101179933.wav,i cut my foot at the pool and it breaks open every day when i walk on it,Open wound,43755034,1,0,0,Wound and injury
1.0,0.6621,3.67,1.0,41087148,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_41087148_65738322.wav&key=test_key_TISTK,1249120_41087148_65738322.wav,my knee catches and hurts when i first stand up after sitting,Knee pain,43755034,1,0,0,Leg and foot pain
1.0,1.0,4.0,1.0,20518958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_20518958_23074828.wav&key=test_key_TISTK,1249120_20518958_23074828.wav,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,Infected wound,19638651,1,1,0,Wound and injury
0.3378,0.6622,3.0,0.6622,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_82352673.wav&key=test_key_TISTK,1249120_39675900_82352673.wav,i feel pain in my shoulders when i write on the keyboard,Shoulder pain,40632132,0,0,0,Shoulder pain
0.6757,0.6757,3.33,1.0,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_100349992.wav&key=test_key_TISTK,1249120_44027675_100349992.wav,i have a problem in seeing objects it is too difficult to see,Blurry vision,44066678,0,1,0,Sensory issues
0.6622,0.6622,3.0,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_25285161.wav&key=test_key_TISTK,1249120_31349958_25285161.wav,glass broken and wound my leg badly the wound is so wide,Open wound,44088126,1,0,0,Wound and injury
0.6486,0.6622,3.33,1.0,35350617,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_35350617_65750534.wav&key=test_key_TISTK,1249120_35350617_65750534.wav,i have a blurry vision during my swimming training in the pool why,Blurry vision,40632132,1,0,0,Sensory issues
1.0,1.0,3.67,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_36107167.wav&key=test_key_TISTK,1249120_43719934_36107167.wav,i love to walk and be outside but the bottoms of my feet get sore so quickly,Foot ache,19638651,1,1,0,Leg and foot pain
0.6824,0.6622,4.0,1.0,1853182,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_1853182_38598866.wav&key=test_key_TISTK,1249120_1853182_38598866.wav,i feel pain in my knee when i climb the stairs,Joint pain,43949040,1,1,0,Muscle and joint pain
0.6623,1.0,3.33,0.6689,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_20831554.wav&key=test_key_TISTK,1249120_39675900_20831554.wav,i get tired too fast i can barely put on my clothes in the morning,Body feels weak,44130352,1,0,0,General weakness
0.6624,0.6561,3.0,1.0,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_80257337.wav&key=test_key_TISTK,1249120_38548574_80257337.wav,my knee hurts when i walk,Knee pain,42082009,0,1,0,Leg and foot pain
0.6815,1.0,3.0,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_101101241.wav&key=test_key_TISTK,1249120_31349958_101101241.wav,i cant rotate my neck,Neck pain,44124309,0,0,0,"Neck, back or spinal issues"
0.6627,0.6627,4.0,1.0,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_27634315.wav&key=test_key_TISTK,1249120_44027675_27634315.wav,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,Infected wound,43755034,1,0,0,Wound and injury
1.0,1.0,3.33,1.0,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_89138183.wav&key=test_key_TISTK,1249120_44027675_89138183.wav,i have a problem in my back i cannot extend it,Back pain,44066678,1,0,0,"Neck, back or spinal issues"
0.6631,1.0,3.0,1.0,30766630,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_30766630_56064697.wav&key=test_key_TISTK,1249120_30766630_56064697.wav,i cant walk because i have a great foot ache,Foot ache,44150058,1,1,0,Leg and foot pain
1.0,0.6717,4.0,1.0,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_90841863.wav&key=test_key_TISTK,1249120_27392644_90841863.wav,my heart is beating fast and it scares me,Heart hurts,1883056,1,1,0,Chest pain
1.0,0.6635,3.0,0.6635,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_90991239.wav&key=test_key_TISTK,1249120_43105396_90991239.wav,i used to have acne when i was  years old,Acne,43949040,1,0,1,Hair and skin issues
1.0,0.6653,3.33,1.0,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_57267134.wav&key=test_key_TISTK,1249120_43105396_57267134.wav,my muscles in my lower back are aching,Muscle pain,44140394,1,1,0,Muscle and joint pain
1.0,1.0,3.67,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_75362840.wav&key=test_key_TISTK,1249120_40663048_75362840.wav,my shoulder muscle hurts when i try to reach up,Muscle pain,38202325,1,1,0,Muscle and joint pain
1.0,1.0,3.33,1.0,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_44857929.wav&key=test_key_TISTK,1249120_39675900_44857929.wav,i feel heart pain when i walk a lot,Heart hurts,21665495,1,0,0,Chest pain
0.7017,1.0,3.0,1.0,44023395,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44023395_39563768.wav&key=test_key_TISTK,1249120_44023395_39563768.wav,my hair is falling out in huge amount,Hair falling out,44118742,1,0,0,Hair and skin issues
1.0,0.6711,3.33,1.0,6338946,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_6338946_35137575.wav&key=test_key_TISTK,1249120_6338946_35137575.wav,i feel a pain in my back,Back pain,44045955,1,1,0,"Neck, back or spinal issues"
1.0,1.0,3.33,0.6648,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_71854860.wav&key=test_key_TISTK,1249120_27392644_71854860.wav,my skin is itchy and inflamed,Skin issue,14026697,1,1,1,Hair and skin issues
0.6813,0.6651,3.67,1.0,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_40885347.wav&key=test_key_TISTK,1249120_43105396_40885347.wav,i cant see well,Blurry vision,44124309,1,0,0,Sensory issues
1.0,0.6659,3.33,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_99274194.wav&key=test_key_TISTK,1249120_31349958_99274194.wav,i have a cold and it makes me cough alot,Cough,44118742,1,0,0,Respiratory issue
1.0,0.6663,3.67,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_75030259.wav&key=test_key_TISTK,1249120_31349958_75030259.wav,i have a dry throat,Cough,43913997,1,0,0,Respiratory issue
1.0,0.353,3.67,0.647,29672643,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29672643_84613593.wav&key=test_key_TISTK,1249120_29672643_84613593.wav,im not hearing well i have problem with my ear,Ear ache,44045955,1,1,0,Sensory issues
0.6599,0.6667,3.33,0.6599,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_83463570.wav&key=test_key_TISTK,1249120_38548574_83463570.wav,my shower drain is full of hair every time,Hair falling out,40925305,0,1,0,Hair and skin issues
1.0,0.6667,3.0,0.6875,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_86164706.wav&key=test_key_TISTK,1249120_27392644_86164706.wav,i have front head pain and when i get it the light bothers me,Head ache,1883056,1,0,0,Headache
1.0,1.0,3.33,0.6735,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_78038831.wav&key=test_key_TISTK,1249120_27392644_78038831.wav,even though im an adult my face keeps breaking out in pimples,Acne,19638651,1,1,0,Hair and skin issues
1.0,0.6684,3.67,0.6684,43855932,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43855932_105242356.wav&key=test_key_TISTK,1249120_43855932_105242356.wav,my knee catches and hurts when i first stand up after sitting,Knee pain,43755034,1,1,0,Leg and foot pain
1.0,0.693,3.33,1.0,43665783,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43665783_84776699.wav&key=test_key_TISTK,1249120_43665783_84776699.wav,surgical wounds red firing pus painful and hot to the touch,Infected wound,44096379,1,0,0,Wound and injury
1.0,1.0,3.67,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_22444850.wav&key=test_key_TISTK,1249120_43719934_22444850.wav,feel like something is being jabbed into my joints,Joint pain,44164300,1,1,0,Muscle and joint pain
1.0,0.6649,3.67,1.0,43898272,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43898272_12278400.wav&key=test_key_TISTK,1249120_43898272_12278400.wav,the arches of my feet hurt when i wear heels,Foot ache,42082009,1,1,0,Leg and foot pain
1.0,0.6699,3.67,1.0,43918153,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43918153_109595997.wav&key=test_key_TISTK,1249120_43918153_109595997.wav,i have a dull ache in my head,Head ache,42082009,1,1,0,Headache
0.6701,0.6701,3.0,0.6701,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_33464746.wav&key=test_key_TISTK,1249120_44027675_33464746.wav,the arches of my feet hurt when i wear heels,Foot ache,42082009,1,0,0,Leg and foot pain
0.6596,1.0,3.33,1.0,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_57378591.wav&key=test_key_TISTK,1249120_38548574_57378591.wav,i feel a pain in my neck,Neck pain,44045955,1,0,0,"Neck, back or spinal issues"
1.0,0.668,3.0,0.6612,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_36803194.wav&key=test_key_TISTK,1249120_31349958_36803194.wav,i have a sharp pain in my neck,Neck pain,44118742,1,0,0,"Neck, back or spinal issues"
1.0,0.6711,3.0,1.0,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_97406490.wav&key=test_key_TISTK,1249120_43105396_97406490.wav,i have pain but i cant specify place,Internal pain,44124309,1,0,0,Internal pain
1.0,1.0,3.33,1.0,38202325,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38202325_72751015.wav&key=test_key_TISTK,1249120_38202325_72751015.wav,i have an ear ache that wont go away  i dont have a cold or headache or any other symptoms  just an earache,Ear ache,19638651,1,1,0,Sensory issues
1.0,0.6711,3.67,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_79263971.wav&key=test_key_TISTK,1249120_43719934_79263971.wav,i have cloudy eyes,Blurry vision,44340112,1,1,0,Sensory issues
1.0,1.0,3.67,1.0,43758322,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43758322_47410422.wav&key=test_key_TISTK,1249120_43758322_47410422.wav,i feel joint pain every time i move,Joint pain,43985758,1,1,0,Muscle and joint pain
0.6644,0.6713,3.0,1.0,41087148,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_41087148_27132398.wav&key=test_key_TISTK,1249120_41087148_27132398.wav,i have a hard pain in my stomach,Stomach ache,44124309,1,0,0,Digestive issues
0.6724,0.6724,3.33,1.0,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_21360760.wav&key=test_key_TISTK,1249120_38548574_21360760.wav,my left ear is ok but the right one feels like its being stabbed with a nail,Ear ache,44130352,1,0,0,Sensory issues
0.3523,0.6726,4.0,0.6726,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_49828446.wav&key=test_key_TISTK,1249120_43719934_49828446.wav,i need a kind of cream wich make my muscles more relaxed,Muscle pain,44118742,1,1,0,Muscle and joint pain
1.0,0.6491,3.0,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_55274079.wav&key=test_key_TISTK,1249120_40663048_55274079.wav,i have a back pain since i fell on the floor,Back pain,40632132,1,1,0,"Neck, back or spinal issues"
