file_name,medical intent,phrase,label
1249120_39675900_44857929.wav,Abdominal Pain and Weakness,I feel heart pain when I walk a lot,0
1249120_44023395_39563768.wav,Dermatological Issues,My hair is falling out in huge amount,1
1249120_27392644_71854860.wav,Dermatological Issues,My skin is itchy and inflamed,1
1249120_43105396_40885347.wav,Head and Neck Discomfort,i can't see well,2
1249120_31349958_99274194.wav,Respiratory and Ear Issues,I have a cold and it makes me cough alot,4
1249120_31349958_75030259.wav,Respiratory and Ear Issues,I have a dry throat,4
1249120_29672643_84613593.wav,Respiratory and Ear Issues,I'm not hearing well I have problem with my ear,4
1249120_38548574_83463570.wav,Dermatological Issues,My shower drain is full of hair every time.,1
1249120_27392644_86164706.wav,Head and Neck Discomfort,I have front head pain and when I get it the light bothers me.,2
1249120_27392644_78038831.wav,Dermatological Issues,Even though I'm an adult my face keeps breaking out in pimples.,1
1249120_43855932_105242356.wav,Musculoskeletal Pain,My knee catches and hurts when I first stand up after sitting.,3
1249120_43665783_84776699.wav,Wound Trauma,"surgical wounds red, firing pus, painful and hot to the touch",5
1249120_43719934_22444850.wav,Musculoskeletal Pain,Feel like something is being jabbed into my joints,3
1249120_43918153_109595997.wav,Head and Neck Discomfort,I have a dull ache in my head,2
1249120_38548574_57378591.wav,Head and Neck Discomfort,I feel a pain in my neck,2
1249120_31349958_36803194.wav,Head and Neck Discomfort,I have a sharp pain in my neck,2
1249120_43105396_97406490.wav,Abdominal Pain and Weakness,i have pain but i can't specify place,0
1249120_38202325_72751015.wav,Respiratory and Ear Issues,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,4
1249120_43719934_79263971.wav,Head and Neck Discomfort,I have cloudy eyes,2
1249120_43758322_47410422.wav,Musculoskeletal Pain,I feel joint pain every time I move,3
1249120_41087148_27132398.wav,Abdominal Pain and Weakness,i have a hard pain in my stomach,0
1249120_38548574_21360760.wav,Respiratory and Ear Issues,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",4
1249120_43719934_49828446.wav,Musculoskeletal Pain,I need a kind of cream wich make my muscles more relaxed,3
1249120_39675900_94763053.wav,Head and Neck Discomfort,I feel lightheaded,2
1249120_43898158_80144458.wav,Abdominal Pain and Weakness,My body aches on the inside between my hips and shoulders.,0
1249120_38548574_109106533.wav,Respiratory and Ear Issues,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",4
1249120_43719934_15555042.wav,Head and Neck Discomfort,I read a book for along time and when I finished reading I feel head ache,2
1249120_31349958_15229477.wav,Dermatological Issues,I break out on my face very frequently,1
1249120_18985376_66234921.wav,Abdominal Pain and Weakness,I have tried to relief it but I can't,0
1249120_41336418_55313967.wav,Wound Trauma,I stopped sports because I get Injury from sports,5
1249120_43788827_53247832.wav,Respiratory and Ear Issues,Every time I take a deep breath I start coughing,4
1249120_40663048_16096306.wav,Musculoskeletal Pain,when i extend my leg there is pain in knee joint,3
1249120_44027675_106420859.wav,Head and Neck Discomfort,my head hurts me badly,2
1249120_40663048_88285220.wav,Dermatological Issues,when i was washing my hair it was falling out heavily,1
1249120_43105396_60363465.wav,Dermatological Issues,I hate my acne.,1
1249120_44023395_15545976.wav,Wound Trauma,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,5
1249120_29672643_42450567.wav,Musculoskeletal Pain,i have pain like needles in my joints.,3
1249120_38548574_33898870.wav,Head and Neck Discomfort,i feel pain in my neck,2
1249120_44027675_30030315.wav,Abdominal Pain and Weakness,My muscles feel tired,0
1249120_40663048_53363963.wav,Head and Neck Discomfort,I tried to put my glasses to see more clear but cant find any change,2
1249120_38548574_11196558.wav,Musculoskeletal Pain,The pain feels like it's right below the skin,3
1249120_44142156_20307840.wav,Musculoskeletal Pain,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",3
1249120_43719934_39477688.wav,Musculoskeletal Pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,3
1249120_43105396_65580508.wav,Abdominal Pain and Weakness,I have a pain internal,0
1249120_22345789_20346915.wav,Head and Neck Discomfort,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",2
1249120_43918153_56806783.wav,Dermatological Issues,my hair falling out,1
1249120_40663048_31956919.wav,Musculoskeletal Pain,I feel joint pain every time I move,3
1249120_29672643_44035263.wav,Abdominal Pain and Weakness,I feel aching on my insides.,0
1249120_40663048_81940723.wav,Dermatological Issues,I have this strange rash on my arm.,1
1249120_31349958_12784683.wav,Dermatological Issues,My face break out badly every month around my cycle.,1
1249120_43665783_99565954.wav,Respiratory and Ear Issues,I have a lot of mucus when I cough.,4
1249120_38548574_37170030.wav,Abdominal Pain and Weakness,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,0
1249120_43951421_102210939.wav,Wound Trauma,I was playing soccer and I twisted my ankle,5
1249120_40663048_24577508.wav,Wound Trauma,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,5
1249120_44023395_75713969.wav,Wound Trauma,"laceration, rupture or opening in the skin",5
1249120_35408915_92289463.wav,Musculoskeletal Pain,I can't carry anything I have a pain in my shoulder,3
1249120_33905644_20657588.wav,Musculoskeletal Pain,How do you know if you have a torn meniscus in your knee?,3
1249120_31349958_90820961.wav,Head and Neck Discomfort,My head gets dizzy when I try to get up.,2
1249120_42210938_96860829.wav,Wound Trauma,I think my wound is infected,5
1249120_43719934_109556634.wav,Head and Neck Discomfort,i feel dizzy after severe diarrhea,2
1249120_43719934_59715186.wav,Dermatological Issues,there is a red stain in my skin,1
1249120_29672643_97524593.wav,Musculoskeletal Pain,"i can't walk, my knee hurts me",3
1249120_29289135_61856369.wav,Abdominal Pain and Weakness,My body feels weak and I tried to make it relax but it stills pain me,0
1249120_31349958_12361039.wav,Abdominal Pain and Weakness,I feel increased heart rate with prick,0
1249120_31349958_47129843.wav,Wound Trauma,My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,5
1249120_35350617_33616773.wav,Abdominal Pain and Weakness,I feel increased heart rate with prick,0
1249120_35448024_51511610.wav,Head and Neck Discomfort,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,2
1249120_35448024_70621344.wav,Respiratory and Ear Issues,i have a problem in my middle ear made by infection,4
1249120_38548574_35011408.wav,Head and Neck Discomfort,My television and computer seem out of focus even though I have new glasses.,2
1249120_38548574_59097289.wav,Wound Trauma,I have a break in the skin between my thumb and index finger and it will not close.,5
1249120_38548574_71315901.wav,Dermatological Issues,When I brush my hair I notice big clumps of hair coming out in the brush.,1
1249120_41087148_97162751.wav,Musculoskeletal Pain,I feel pain in the knee when walking,3
1249120_43105396_52650663.wav,Respiratory and Ear Issues,I'm not feeling good I can't take my breath,4
1249120_44027675_82111072.wav,Musculoskeletal Pain,i can't move my shoulder because of pain,3
1249120_17632529_59148406.wav,Respiratory and Ear Issues,I m feeling cold though the temperature is high,4
1249120_35448024_19183141.wav,Abdominal Pain and Weakness,My body feels weak although I take my vitamins regularly.,0
1249120_38548574_67556518.wav,Abdominal Pain and Weakness,i feel pain in my body,0
1249120_38548574_82844176.wav,Musculoskeletal Pain,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",3
1249120_40571337_41381025.wav,Head and Neck Discomfort,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",2
1249120_43665783_29692036.wav,Respiratory and Ear Issues,I get an ear ache when it is cold,4
1249120_44027675_26607447.wav,Musculoskeletal Pain,My joints feel swollen,3
1249120_44027675_27329138.wav,Head and Neck Discomfort,When I stand I feel dizzy I do not know why,2
1249120_6338946_37878461.wav,Head and Neck Discomfort,I feel lightheaded,2
1249120_15965551_30586097.wav,Musculoskeletal Pain,My lower back hurts but it improves if I stretch it,3
1249120_15965551_57015604.wav,Dermatological Issues,I got acne when I ate chili,1
1249120_29289135_60949903.wav,Musculoskeletal Pain,I could not exercise because of my knee pain,3
1249120_41087148_100376153.wav,Respiratory and Ear Issues,I'm not hearing well I have problem with my ear,4
1249120_43665783_58565107.wav,Dermatological Issues,A terrible fall in hair,1
1249120_6338946_14309885.wav,Respiratory and Ear Issues,my ear hurts me badly,4
1249120_21665495_80351024.wav,Wound Trauma,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,5
1249120_41087148_31312301.wav,Abdominal Pain and Weakness,heart aches so much,0
1249120_35448024_91999487.wav,Head and Neck Discomfort,My throught is so sore.,2
1249120_38548574_45577164.wav,Respiratory and Ear Issues,The pain in my ear is unbearable.,4
1249120_14353703_21660925.wav,Wound Trauma,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,5
1249120_1853182_107248900.wav,Musculoskeletal Pain,Chronic bone disease at the level of the doubles of the lower Estremidades,3
1249120_1853182_24371252.wav,Musculoskeletal Pain,My knees hurt so bad to walk that I stay sitting more than I should.,3
1249120_35350617_51362174.wav,Musculoskeletal Pain,My kneecap feels like it is grating bone on bone when I walk.,3
1249120_43665783_101422665.wav,Musculoskeletal Pain,I feel pain in my joint after an injury in the last football match I played.,3
1249120_1853182_31648376.wav,Musculoskeletal Pain,"Annoyance starts suddenly, often after an injury or exercise.",3
1249120_38548574_84914411.wav,Head and Neck Discomfort,I feel pain in my eyes I can see fog,2
1249120_36505751_21301599.wav,Head and Neck Discomfort,Can't keep focus,2
1249120_44023395_16910627.wav,Respiratory and Ear Issues,I feel fluid trying to come up when I cough.,4
1249120_44027675_73120896.wav,Dermatological Issues,"My skin color on my back is red, I don't know why.",1
1249120_13842059_17269028.wav,Respiratory and Ear Issues,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",4
1249120_13842059_18087389.wav,Respiratory and Ear Issues,I'm suffering from sharp cough Accompanied by  phlegm,4
1249120_13842059_19016138.wav,Musculoskeletal Pain,"When I move my shoulder, it's like lightning is being sent through my shoulder",3
1249120_13842059_20940439.wav,Respiratory and Ear Issues,I feel a tightness in my chest,4
1249120_13842059_42630071.wav,Abdominal Pain and Weakness,My chest hurts when I smoke,0
1249120_13842059_64044535.wav,Musculoskeletal Pain,I have a feeling like my whole body is complaining,3
1249120_13842059_65679587.wav,Wound Trauma,I had a collision while playing soccer.  My knee buckled and now it's unstable.,5
1249120_17632529_17442112.wav,Dermatological Issues,My acne gets worse when it is hot,1
1249120_17632529_57285505.wav,Respiratory and Ear Issues,I usually have a bad cough when I get flu.,4
1249120_17632529_72644850.wav,Wound Trauma,"i was playing basketball yesterday, i have sprained ankle",5
1249120_17632529_81992084.wav,Dermatological Issues,My chest break out with red pimples and whiteheads.,1
1249120_18172663_68493319.wav,Dermatological Issues,itch at front and center of scalp,1
1249120_1853182_67194097.wav,Head and Neck Discomfort,I have a dull ache in my head,2
1249120_20518958_42522591.wav,Respiratory and Ear Issues,I get an ear ache when it is cold,4
1249120_21665495_100904838.wav,Dermatological Issues,I get breakouts on my chest with red patches that get more intense when i get hot.,1
1249120_21665495_15185342.wav,Head and Neck Discomfort,i can't ride my car at night because i have blurry vision.,2
1249120_21665495_16985833.wav,Musculoskeletal Pain,I feel pain in the knee,3
1249120_21665495_41066118.wav,Abdominal Pain and Weakness,I can't stand with this horrible feeling in my stomach,0
1249120_21665495_51622581.wav,Abdominal Pain and Weakness,"I get tired too fast, I can barely put on my clothes in the morning.",0
1249120_21665495_56739809.wav,Respiratory and Ear Issues,When I tried to be warm and wear more clothes I found that I was still cold,4
1249120_21665495_61543337.wav,Musculoskeletal Pain,my ankle is hurting me,3
1249120_21665495_75728926.wav,Musculoskeletal Pain,My knee is hurting so badly.,3
1249120_2171654_109407598.wav,Head and Neck Discomfort,fell skull is cracked like nuts,2
1249120_22345789_51309476.wav,Abdominal Pain and Weakness,It is like I have a needle pushing through my heart.,0
1249120_22345789_78347555.wav,Dermatological Issues,My chest acne breaks out and never clears up.,1
1249120_22345789_80312402.wav,Dermatological Issues,my hair isn't well,1
1249120_22423108_83972144.wav,Musculoskeletal Pain,It feels like someone stuck a knife into my shoulder,3
1249120_27392644_85731623.wav,Head and Neck Discomfort,I feel a great amount of pressure of my head.,2
1249120_29289135_12684151.wav,Wound Trauma,my hand open wound got infected,5
1249120_29289135_16207472.wav,Respiratory and Ear Issues,I feel great pressure in my chest,4
1249120_29289135_21153424.wav,Respiratory and Ear Issues,I'm not feeling good I can't take my breath,4
1249120_29289135_24806033.wav,Respiratory and Ear Issues,i feel that it's hard to breath for me specially after running or making any effort,4
1249120_29289135_29114812.wav,Wound Trauma,I have an open wound in my arm,5
1249120_29289135_47668254.wav,Respiratory and Ear Issues,i cant sleep because of cough,4
1249120_29289135_57264359.wav,Respiratory and Ear Issues,"It is hard to breath when I am in the underground metro station, why?",4
1249120_29289135_62727547.wav,Dermatological Issues,I break out on my face very frequently,1
1249120_29289135_86436418.wav,Abdominal Pain and Weakness,"can't do any exercise, i feel weak",0
1249120_29289135_97912133.wav,Musculoskeletal Pain,My knees hurt so bad to walk that I stay sitting more than I should.,3
1249120_29289135_97981858.wav,Musculoskeletal Pain,My shoulder muscle hurts when I try to reach up.,3
1249120_29672643_47139582.wav,Dermatological Issues,I'm very worried that I'll go bald soon. Am I very sick?,1
1249120_29672643_51311282.wav,Musculoskeletal Pain,i feel that is great pain in my left shoulder,3
1249120_29672643_56929154.wav,Abdominal Pain and Weakness,I feel pain inside and I can not identify it,0
1249120_29672643_64758791.wav,Dermatological Issues,Is there a cure for acne?,1
1249120_29672643_73609673.wav,Musculoskeletal Pain,I have a pain in my muscle,3
1249120_29672643_97390986.wav,Musculoskeletal Pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,3
1249120_29713479_22907697.wav,Abdominal Pain and Weakness,My body feels weak although I take my vitamins regularly.,0
1249120_29713479_55240615.wav,Head and Neck Discomfort,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,2
1249120_29713479_61675069.wav,Dermatological Issues,I have found some issues in my skin and tried to use cream but it doesn't get better,1
1249120_29713479_82777486.wav,Dermatological Issues,I have a red rash that is itchy on my skin,1
1249120_30766630_100051410.wav,Wound Trauma,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,5
1249120_30766630_23240821.wav,Head and Neck Discomfort,I feel pain in my neck after waking up,2
1249120_30937687_97828695.wav,Head and Neck Discomfort,My neck has been sore since the accident.,2
1249120_31349958_87678305.wav,Respiratory and Ear Issues,"It is hard to breath when I am in the underground metro station, why?",4
1249120_31349958_90101203.wav,Head and Neck Discomfort,I have a dull ache in my head,2
1249120_33251186_23433918.wav,Abdominal Pain and Weakness,"I feel a pain on the left side of my chest, where my heart is",0
1249120_33251186_32355828.wav,Respiratory and Ear Issues,When I wake up I am feeling cold,4
1249120_33251186_33255083.wav,Dermatological Issues,there is acne on my face,1
1249120_33251186_42909178.wav,Respiratory and Ear Issues,I'm not good i'm feeling so cold,4
1249120_33251186_58567835.wav,Wound Trauma,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,5
1249120_33251186_62591889.wav,Abdominal Pain and Weakness,"It's hard to stand up, and I'm moving very slowly",0
1249120_33251186_63315557.wav,Musculoskeletal Pain,There is so much pain when I move my arm.,3
1249120_33251186_78284954.wav,Head and Neck Discomfort,I read a book for along time and when I finished reading I feel head ache,2
1249120_33251186_86195095.wav,Dermatological Issues,I lose a lot of my hair,1
1249120_33251186_94017619.wav,Wound Trauma,i have injured myself during the soccer match,5
1249120_35154350_99073348.wav,Head and Neck Discomfort,My television and computer seem out of focus even though I have new glasses.,2
1249120_35197064_70776462.wav,Musculoskeletal Pain,When I wake up in the morning I feel a soreness in my body,3
1249120_35197064_92418495.wav,Head and Neck Discomfort,I feel a great amount of pressure of my head.,2
1249120_35350617_109754819.wav,Abdominal Pain and Weakness,I feel pain in my heart when I wake up,0
1249120_35350617_30276969.wav,Dermatological Issues,I break out on my face very frequently,1
1249120_35444693_41678037.wav,Respiratory and Ear Issues,I feel like something is squeezing my lungs.,4
1249120_35444693_84892280.wav,Musculoskeletal Pain,I feel pain in the knee,3
1249120_35444693_89634788.wav,Head and Neck Discomfort,Everything looks like beeing in a smoky area.,2
1249120_35444693_98496322.wav,Head and Neck Discomfort,"Every time I make an effort, I felt dizzy.",2
1249120_35448024_17638605.wav,Respiratory and Ear Issues,Have severe cold and cough,4
1249120_35448024_78702299.wav,Respiratory and Ear Issues,I feel like something is squeezing my lungs.,4
1249120_35448024_80496524.wav,Musculoskeletal Pain,I feel pain in the knee when walking,3
1249120_36929821_29693136.wav,Abdominal Pain and Weakness,Chronic bowel Pain,0
1249120_38042052_64724010.wav,Wound Trauma,When I played football I dislocated my shoulder,5
1249120_38042052_76578153.wav,Abdominal Pain and Weakness,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,0
1249120_38548574_11252773.wav,Wound Trauma,I feel pain in my right shoulder after the tennis match.,5
1249120_38548574_27777565.wav,Abdominal Pain and Weakness,There is this pain that radiates from my chest up to my left arm.,0
1249120_38548574_31841221.wav,Dermatological Issues,I have pimples in patches along with a lot of redness on my face.,1
1249120_38548574_35678770.wav,Musculoskeletal Pain,"i can't move my leg, there is pain in the joint",3
1249120_38548574_42855973.wav,Respiratory and Ear Issues,I feel a tightness in my chest,4
1249120_38548574_79792314.wav,Musculoskeletal Pain,I feel a sharp pain in my ankle joint when I stand.,3
1249120_39142299_16819817.wav,Head and Neck Discomfort,My head hurts in the back and the pain lasts all day.,2
1249120_39142299_27108997.wav,Wound Trauma,What helps cuts heal faster?,5
1249120_39142299_38699586.wav,Musculoskeletal Pain,My knee doesn't want to bend well.,3
1249120_39142299_49427617.wav,Musculoskeletal Pain,My knees seem to grind as I go up or down stairs.,3
1249120_39142299_54414723.wav,Head and Neck Discomfort,When i'm awake in the morning I feel strange and have vertigo,2
1249120_39142299_55254699.wav,Wound Trauma,My sore isn't healing well and it's been like this for two weeks.,5
1249120_39142299_67548099.wav,Wound Trauma,I hit myself and the would doesn't want to heal,5
1249120_39142299_98348138.wav,Musculoskeletal Pain,I have some pain when i'm walking around my knees,3
1249120_39154234_81779768.wav,Head and Neck Discomfort,When I stand up too quick my vision is blurry.,2
1249120_39438102_24829922.wav,Respiratory and Ear Issues,Sometimes I feel like a claw on my chest that leaves me breathless.,4
1249120_39675900_70037081.wav,Wound Trauma,I suffered a deep wound in my hand and I can not stop the bleeding,5
1249120_39740177_107164507.wav,Abdominal Pain and Weakness,The severe pain in the stomach I feel,0
1249120_39740177_22075222.wav,Respiratory and Ear Issues,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",4
1249120_40017708_13341928.wav,Respiratory and Ear Issues,I can`t stop coughing.,4
1249120_40017708_18087251.wav,Wound Trauma,There is an injured person,5
1249120_40017708_81756637.wav,Musculoskeletal Pain,It hurts when I raise my arm up,3
1249120_40184183_101133265.wav,Wound Trauma,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",5
1249120_40184183_105834820.wav,Abdominal Pain and Weakness,When I eat too much sugar my body gets weak and dizzy.,0
1249120_40184183_17160527.wav,Head and Neck Discomfort,When I stand up too quick my vision is blurry.,2
1249120_40184183_20916120.wav,Musculoskeletal Pain,My right shoulder clicks when I move my arm.,3
1249120_40184183_30207178.wav,Dermatological Issues,I have a rash and it itches very bad.,1
1249120_40184183_57607070.wav,Abdominal Pain and Weakness,I have constant stomach pain and bloating.,0
1249120_40184183_85434711.wav,Dermatological Issues,My son has a lot of acne.,1
1249120_40184183_93466785.wav,Abdominal Pain and Weakness,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,0
1249120_40725179_108204132.wav,Respiratory and Ear Issues,I feel a tightness in my chest,4
1249120_40725179_19297925.wav,Abdominal Pain and Weakness,My stomach feels starts hurting but then it feels better after I eat something mild.,0
1249120_40725179_24514314.wav,Musculoskeletal Pain,Chronic bone disease at the level of the doubles of the lower Estremidades,3
1249120_40725179_26790327.wav,Head and Neck Discomfort,My neck feels stiff,2
1249120_40725179_35306913.wav,Head and Neck Discomfort,I feel dizzy after doing a muscular effort.,2
1249120_40725179_44473842.wav,Dermatological Issues,I have pimples in patches along with a lot of redness on my face.,1
1249120_40725179_49001905.wav,Head and Neck Discomfort,I feel lightheaded when I stand up,2
1249120_40725179_52346285.wav,Musculoskeletal Pain,I feel a burning sensation in my shoulder muscle.,3
1249120_40725179_58201644.wav,Musculoskeletal Pain,I feel a lot of pain in the joints.,3
1249120_40725179_61949326.wav,Dermatological Issues,The acne was causing me to feel embarrassed.,1
1249120_40725179_76574514.wav,Head and Neck Discomfort,Whenever I stand up I feel dizzy.,2
1249120_40725179_79498431.wav,Wound Trauma,I have a split on my thumb that will not heal.,5
1249120_40725179_84485488.wav,Musculoskeletal Pain,i was playing football and injuried with joint pain.,3
1249120_40725179_92669853.wav,Head and Neck Discomfort,I can't see the sign I have a blurry vision,2
1249120_40725179_92829412.wav,Respiratory and Ear Issues,The pain in my ear is unbearable.,4
1249120_41087148_11149378.wav,Head and Neck Discomfort,When I stand I feel dizzy I do not know why,2
1249120_41087148_12715051.wav,Dermatological Issues,I have a red rash that is itchy on my skin,1
1249120_41087148_26497479.wav,Abdominal Pain and Weakness,"My heart hurts while I'm sad, why?",0
1249120_41087148_44820076.wav,Head and Neck Discomfort,I have a headache almost every day,2
1249120_41087148_81217812.wav,Respiratory and Ear Issues,There is a constant tickle in my throat,4
1249120_41087148_86009880.wav,Abdominal Pain and Weakness,My body aches on the inside between my hips and shoulders.,0
1249120_41087148_87462218.wav,Head and Neck Discomfort,My throught is so sore.,2
1249120_41150153_100977308.wav,Dermatological Issues,There are lots of hairs on my pillow in the morning.,1
1249120_41150153_29069021.wav,Dermatological Issues,I have a scab on the back of my hand that just won't go away.,1
